address,end_address,name,kind,subtype,size_bytes,width_bits,signed,rows,cols,subsystem,confidence,inbound_xrefs,callers,description,evidence,aliases,generated
0xE972,0xE991,sub_E972,routine,unclassified-code,32,,,,,unknown,unclassified,1,0x994C,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xE993,0xE9A6,sub_E993,routine,unclassified-code,20,,,,,unknown,unclassified,1,0x99E6,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xE9A8,0xEB14,afterstart_state_handler,routine,code,365,8,,,,unknown,confirmed,2,0xB457|0xB462,Afterstart/warmup state handler using CTS-like support vectors.,existing reverse-engineering bundle / repository LOGIC.md,,false
0xEB16,0xEB35,sub_EB16,routine,unclassified-code,32,,,,,unknown,unclassified,2,0xEAA4|0xEAFF,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEB37,0xEBB2,sub_EB37,routine,unclassified-code,124,,,,,unknown,unclassified,0,,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEBB4,0xEF28,sub_EBB4,routine,unclassified-code,885,,,,,unknown,unclassified,1,0xD5B6,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEF2A,0xEF6F,sub_EF2A,routine,unclassified-code,70,,,,,unknown,unclassified,1,0x730F,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEF71,0xEF7C,sub_EF71,routine,unclassified-code,12,,,,,unknown,unclassified,1,0xB8E0,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEF7D,0xEFB5,sub_EF7D,routine,unclassified-code,57,,,,,unknown,unclassified,1,0xEBD9,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEFB6,0xEFBF,sub_EFB6,routine,unclassified-code,10,,,,,unknown,unclassified,2,0xECD3|0xEDE1,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEFC0,0xEFC7,load_12bit_descriptor_word,routine,code,8,,,,,math,confirmed,9,0xEBFE|0xEC05|0xECC0|0xEDC7|0xEDEE|0xEE15|0xEE7B|0xEFE0|0xEFEE,"Load a descriptor word from X, mask its high nibble, and cache it at 0x25BA.",decoded instruction flow at 0xEFC0; caller/callee context,,false
0xEFC8,0xEFD3,compare_abs_delta_to_limit,routine,code,12,,,,,math,confirmed,5,0xEC85|0xEC9D|0xEE06|0xEE1B|0xEE58,Compare the absolute difference from cached 0x25BA against limit 0x25BF.,decoded instruction flow at 0xEFC8; caller/callee context,,false
0xEFD4,0xEFDF,sub_EFD4,routine,unclassified-code,12,,,,,unknown,unclassified,1,0xEDE4,Reachable direct-call or vector entry not yet semantically classified.,recursive control-flow graph,,true
0xEFE0,0xEFFE,test_descriptor_window,routine,code,31,,,,,math,strong,3,0xEE9E|0xEEA9|0xEEB0,Test adjacent 12-bit descriptor words against a center/window pair in 0x20AC/0x20AE.,decoded instruction flow at 0xEFE0; caller/callee context,,false
0xEFFF,0xF020,count_leading_shift_positions,routine,code,34,,,,,math,strong,3,0xEBF4|0xED94|0xEE6F,Count left shifts required to normalize words in low-RAM range 0x0072-0x0087.,decoded instruction flow at 0xEFFF; caller/callee context,,false
